"Countries","Lat","Long","data","cases","deaths"
"Brazil",-14.235,-51.9253,2021-04-03,12959895,330503
"Brazil",-14.235,-51.9253,2021-04-04,12992213,331745
"Brazil",-14.235,-51.9253,2021-04-05,13034887,333657
"Brazil",-14.235,-51.9253,2021-04-06,13120019,337725
"Brazil",-14.235,-51.9253,2021-04-07,13208715,341396
"Brazil",-14.235,-51.9253,2021-04-08,13297270,345544
"Brazil",-14.235,-51.9253,2021-04-09,13385380,349296
"Brazil",-14.235,-51.9253,2021-04-10,13451932,351674
"Brazil",-14.235,-51.9253,2021-04-11,13491107,353531
"Brazil",-14.235,-51.9253,2021-04-12,13530757,355242
"Brazil",-14.235,-51.9253,2021-04-13,13613418,358999
"Brazil",-14.235,-51.9253,2021-04-14,13688024,362444
"Brazil",-14.235,-51.9253,2021-04-15,13759207,365935
"Brazil",-14.235,-51.9253,2021-04-16,13843594,369272
"Brazil",-14.235,-51.9253,2021-04-17,13912159,372149
"Brazil",-14.235,-51.9253,2021-04-18,13950997,373671
"Brazil",-14.235,-51.9253,2021-04-19,13987519,375427
"Brazil",-14.235,-51.9253,2021-04-20,14060162,378774
"Brazil",-14.235,-51.9253,2021-04-21,14134150,381971
"Brazil",-14.235,-51.9253,2021-04-22,14182258,384022
"Brazil",-14.235,-51.9253,2021-04-23,14251539,387064
"Brazil",-14.235,-51.9253,2021-04-24,14315320,389830
"Brazil",-14.235,-51.9253,2021-04-25,14348961,391164
"Brazil",-14.235,-51.9253,2021-04-26,14381359,392544
"Brazil",-14.235,-51.9253,2021-04-27,14457203,395625
"Brazil",-14.235,-51.9253,2021-04-28,14534482,398637
"Brazil",-14.235,-51.9253,2021-04-29,14603096,401669
"Brazil",-14.235,-51.9253,2021-04-30,14675104,404530
"Brazil",-14.235,-51.9253,2021-05-01,14733396,406770
"Brazil",-14.235,-51.9253,2021-05-02,14762684,408036
"Brazil",-14.235,-51.9253,2021-05-03,14801673,409161
"Brazil",-14.235,-51.9253,2021-05-04,14871208,412140
"Brazil",-14.235,-51.9253,2021-05-05,14947580,414911
"Brazil",-14.235,-51.9253,2021-05-06,15019870,417447
"Brazil",-14.235,-51.9253,2021-05-07,15096714,419633
"Brazil",-14.235,-51.9253,2021-05-08,15158475,421715
"Brazil",-14.235,-51.9253,2021-05-09,15191195,422637
"Brazil",-14.235,-51.9253,2021-05-10,15227496,423748
"Brazil",-14.235,-51.9253,2021-05-11,15297602,425993
"Brazil",-14.235,-51.9253,2021-05-12,15373850,428574
"Brazil",-14.235,-51.9253,2021-05-13,15453880,430851
"Brazil",-14.235,-51.9253,2021-05-14,15531794,433038
"Brazil",-14.235,-51.9253,2021-05-15,15599145,435039
"Brazil",-14.235,-51.9253,2021-05-16,15636709,436100
"Brazil",-14.235,-51.9253,2021-05-17,15672307,437185
"Brazil",-14.235,-51.9253,2021-05-18,15747112,439636
"Brazil",-14.235,-51.9253,2021-05-19,15827375,442136
"Brazil",-14.235,-51.9253,2021-05-20,15910762,444647
"Brazil",-14.235,-51.9253,2021-05-21,15987393,446773
"Brazil",-14.235,-51.9253,2021-05-22,16055289,448499
"Brazil",-14.235,-51.9253,2021-05-23,16093784,449388
"Brazil",-14.235,-51.9253,2021-05-24,16131264,450250
"Brazil",-14.235,-51.9253,2021-05-25,16205305,452434
"Brazil",-14.235,-51.9253,2021-05-26,16285550,454897
"Brazil",-14.235,-51.9253,2021-05-27,16350081,456998
"Brazil",-14.235,-51.9253,2021-05-28,16403969,459424
"Brazil",-14.235,-51.9253,2021-05-29,16479832,461365
"Brazil",-14.235,-51.9253,2021-05-30,16521281,462278
"Brazil",-14.235,-51.9253,2021-05-31,16557888,463244
"Brazil",-14.235,-51.9253,2021-06-01,16636801,465578
"Brazil",-14.235,-51.9253,2021-06-02,16733079,468086
"Brazil",-14.235,-51.9253,2021-06-03,16809146,470000
"Brazil",-14.235,-51.9253,2021-06-04,16852317,471191
"Brazil",-14.235,-51.9253,2021-06-05,16913984,472861
"Brazil",-14.235,-51.9253,2021-06-06,16954327,473741
"Brazil",-14.235,-51.9253,2021-06-07,16994043,474890
"Brazil",-14.235,-51.9253,2021-06-08,17049756,477538
"Brazil",-14.235,-51.9253,2021-06-09,17134623,479930
"Brazil",-14.235,-51.9253,2021-06-10,17225867,482435
